Vendor Name,General Ledger Number,PO Number,RGA #,PO Class,PO Date,PO Composer,Line No ,Item Number,Item Description,Vendor Catalog Number,"Manufacturer 
Catalog Number",Status,Delivery Date,Self Assessed,Requisition Number,GPO Ind,Commodity Code,Received Qty,Open Qty,Order Qty,UM,Order Price,Extended Amount,Tax,Extended Amount with Tax
MEDLINE INDUSTRIES INC,002401063225,K255034,,MEDICAL/SURGICAL SUPPLIES, 10/02/2018  12:38: PM,Janet Caliendo,1,37785,TRAY PORT DRSG CHNG - OUTPATIENT,DYNDC2629,DYNDC2629,Complete,10/7/2018  12:38:30 PM,,469572,,27,5,0,5,CS,$221.60 ,"$1,108.00 ",0,"$1,108.00 "
MEDLINE INDUSTRIES INC,002401063225,K271195,,MEDICAL/SURGICAL SUPPLIES, 12/27/2018  2:36: PM,Zonnie O. Brown,1,37783,KIT EXT CENTRAL LINE DRSG CHNG,DYNDC2628,DYNDC2628,Complete,1/1/2019  2:36:49 PM,,485507,,27,4,0,4,CS,$473.20 ,"$1,892.80 ",0,"$1,892.80 "
OWENS & MINOR,007450263225,K232115,,INVENTORY - STORES, 06/01/2018  8:11: AM,Julia Vallejo,6,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/4/2018  8:11:33 AM,,UH06N0000009230,,27,6,0,6,TB,$6.04 ,$36.24 ,0,$36.24 
OWENS & MINOR,007450263225,K232119,,INVENTORY - STORES, 06/01/2018  8:19: AM,Julia Vallejo,1,37783,KIT EXT CENTRAL LINE DRSG CHNG,4352YNDC2628,DYNDC2628,Complete,6/4/2018  8:19:30 AM,,UH06N0000009230,,27,24,0,24,EA,$11.83 ,$283.92 ,0,$283.92 
OWENS & MINOR,007160063225,K232123,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  8:25: AM,Janet Caliendo,28,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/4/2018  8:25:07 AM,,06012018,,27,10,0,10,TB,$6.04 ,$60.40 ,0,$60.40 
OWENS & MINOR,007451263225,K232162,,INVENTORY - STORES, 06/01/2018  10:36: AM,Julia Vallejo,1,37783,KIT EXT CENTRAL LINE DRSG CHNG,4352YNDC2628,DYNDC2628,Complete,6/4/2018  10:36:02 AM,,UH07S0000009254,,27,24,0,24,EA,$11.83 ,$283.92 ,0,$283.92 
OWENS & MINOR,007451263225,K232162,,INVENTORY - STORES, 06/01/2018  10:36: AM,Julia Vallejo,7,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/4/2018  10:36:02 AM,,UH07S0000009254,,27,1,0,1,TB,$6.04 ,$6.04 ,0,$6.04 
OWENS & MINOR,004PG006244SC08320,K232166,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  10:40: AM,Julia Vallejo,1,9292,CATHETER IV BD INSYTE BD AUTOGUARD 1IN 20GA LF S,0723382633,382633,Complete,6/4/2018  10:40:11 AM,,MSSS0050546,,27,50,0,50,EA,$1.5728 ,$78.64 ,0,$78.64 
OWENS & MINOR,004PG006244SC08320,K232166,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  10:40: AM,Julia Vallejo,2,9293,CATHETER IV BDINSYTE BD AUTOGUARD 1IN 22GA LF S WINGED,0723382623,382623,Complete,6/4/2018  10:40:11 AM,,MSSS0050546,,27,100,0,100,EA,$1.5728 ,$157.28 ,0,$157.28 
OWENS & MINOR,007202563225,K232176,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  10:45: AM,PMM AutoPO processing login,3,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/4/2018  12:00:00 AM,,MSSS0052487,,27,2,0,2,TB,$6.04 ,$12.08 ,0,$12.08 
OWENS & MINOR,007401563225,K232180,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  10:45: AM,PMM AutoPO processing login,5,37783,KIT EXT CENTRAL LINE DRSG CHNG,4352YNDC2628,DYNDC2628,Complete,6/4/2018  12:00:00 AM,,UHERD0000009233,,27,24,0,24,EA,$11.83 ,$283.92 ,0,$283.92 
OWENS & MINOR,007457063225,K232181,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  10:45: AM,PMM AutoPO processing login,26,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/4/2018  12:00:00 AM,,UHPHN0000009227,,27,4,0,4,TB,$6.04 ,$24.16 ,0,$24.16 
OWENS & MINOR,007457063225,K232181,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  10:45: AM,PMM AutoPO processing login,8,37783,KIT EXT CENTRAL LINE DRSG CHNG,4352YNDC2628,DYNDC2628,Complete,6/4/2018  12:00:00 AM,,UHPHN0000009227,,27,24,0,24,EA,$11.83 ,$283.92 ,0,$283.92 
OWENS & MINOR,007461263225,K232198,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  11:08: AM,Hazel E. Townsend,5,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/4/2018  11:08:41 AM,,UH10S0000009255,,27,4,0,4,TB,$3.9535 ,$15.8140 ,0,$15.8140 
OWENS & MINOR,006225563321,K232225,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  1:08: PM,Jessica Gorecki,1,9292,CATHETER IV BD INSYTE BD AUTOGUARD 1IN 20GA LF S,0723382633,382633,Complete,6/4/2018  1:08:07 PM,,L1PAC0000009269,,27,6,0,6,BX,$78.6425 ,$471.8550 ,0,$471.8550 
OWENS & MINOR,006225563321,K232225,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  1:08: PM,Jessica Gorecki,2,9293,CATHETER IV BDINSYTE BD AUTOGUARD 1IN 22GA LF S WINGED,0723382623,382623,Complete,6/4/2018  1:08:07 PM,,L1PAC0000009269,,27,6,0,6,BX,$78.6425 ,$471.8550 ,0,$471.8550 
OWENS & MINOR,007452263225,K232241,,INVENTORY - STORES, 06/01/2018  1:23: PM,Julia Vallejo,6,37783,KIT EXT CENTRAL LINE DRSG CHNG,4352YNDC2628,DYNDC2628,Complete,6/4/2018  1:23:58 PM,,UH08S0000009267,,27,9,0,9,EA,$11.83 ,$106.47 ,0,$106.47 
OWENS & MINOR,001102063225,K232243,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  1:28: PM,Julia Vallejo,2,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/4/2018  1:28:17 PM,,MSSS0052148,,27,1,0,1,CS,$47.4422 ,$47.4422 ,0,$47.4422 
OWENS & MINOR,001108563225,K232244,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  1:29: PM,Julia Vallejo,2,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/4/2018  1:29:13 PM,,MSSS0051515,,27,1,0,1,CS,$47.44 ,$47.44 ,0,$47.44 
OWENS & MINOR,001102063225,K232245,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  1:29: PM,Julia Vallejo,1,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/4/2018  1:29:59 PM,,MSSS0052149,,27,1,0,1,CS,$47.44 ,$47.44 ,0,$47.44 
OWENS & MINOR,002999713025,K232276,,INVENTORY - STORES, 06/01/2018  2:19: PM,Janet Caliendo,8,9293,CATHETER IV BDINSYTE BD AUTOGUARD 1IN 22GA LF S WINGED,0723382623,382623,Complete,6/4/2018  2:19:16 PM,,445708,,27,2,0,2,BX,$78.6425 ,$157.2850 ,0,$157.2850 
OWENS & MINOR,002109463321,K232288,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  2:22: PM,Jose Wilmer Mota,2,9293,CATHETER IV BDINSYTE BD AUTOGUARD 1IN 22GA LF S WINGED,0723382623,382623,Complete,6/5/2018  12:00:00 AM,,MSSS0052476,,27,50,0,50,EA,$1.5729 ,$78.6450 ,0,$78.6450 
OWENS & MINOR,007451063225,K232295,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  2:30: PM,PMM AutoPO processing login,20,37783,KIT EXT CENTRAL LINE DRSG CHNG,4352YNDC2628,DYNDC2628,Complete,6/4/2018  12:00:00 AM,,UH07N0000009262,,27,24,0,24,EA,$11.83 ,$283.92 ,0,$283.92 
OWENS & MINOR,007451063225,K232296,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  2:30: PM,PMM AutoPO processing login,15,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/4/2018  12:00:00 AM,,UH07N0000009262,,27,4,0,4,TB,$6.04 ,$24.16 ,0,$24.16 
OWENS & MINOR,007455063321,K232298,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  2:30: PM,PMM AutoPO processing login,1,21740,CONNECTOR TUBING INVISION-PLUS GRN LTX-FREE STER PEEL POUCH,5564RYM7001,RYM-7001,Complete,6/4/2018  12:00:00 AM,,UH11N0000009271,,27,200,0,200,EA,$1.7990 ,$359.80 ,0,$359.80 
OWENS & MINOR,007458663225,K232299,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  2:30: PM,PMM AutoPO processing login,12,30547,GLOVE SURGEON BIOGEL ULTRA TOUCH SIZE 8,0158041180,41180,Complete,6/4/2018  12:00:00 AM,,UHCCU0000009270,,02,12,0,12,PR,$1.5420 ,$18.5040 ,0,$18.5040 
OWENS & MINOR,007458463225,K232300,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  2:30: PM,PMM AutoPO processing login,7,37783,KIT EXT CENTRAL LINE DRSG CHNG,4352YNDC2628,DYNDC2628,Complete,6/4/2018  12:00:00 AM,,UHMIC0000009261,,27,12,0,12,EA,$11.83 ,$141.96 ,0,$141.96 
OWENS & MINOR,007458063225,K232301,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  2:30: PM,PMM AutoPO processing login,11,37783,KIT EXT CENTRAL LINE DRSG CHNG,4352YNDC2628,DYNDC2628,Complete,6/4/2018  12:00:00 AM,,UHSIC0000009257,,27,9,0,9,EA,$11.83 ,$106.47 ,0,$106.47 
OWENS & MINOR,007458063225,K232301,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  2:30: PM,PMM AutoPO processing login,20,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/4/2018  12:00:00 AM,,UHSIC0000009257,,27,4,0,4,TB,$6.04 ,$24.16 ,0,$24.16 
OWENS & MINOR,001106563225,K232309,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  2:45: PM,PMM AutoPO processing login,2,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/4/2018  12:00:00 AM,,MSSS0051802,,27,12,0,12,TB,$6.04 ,$72.48 ,0,$72.48 
OWENS & MINOR,001120063225,K232310,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  2:45: PM,PMM AutoPO processing login,4,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/4/2018  12:00:00 AM,,MSSS0052397,,27,12,0,12,TB,$6.04 ,$72.48 ,0,$72.48 
OWENS & MINOR,007401063225,K232370,,MEDICAL/SURGICAL SUPPLIES, 06/01/2018  3:51: PM,Janet Caliendo,4,30547,GLOVE SURGEON BIOGEL ULTRA TOUCH SIZE 8,0158041180,41180,Complete,6/4/2018  3:51:45 PM,,MSSS0052516,,02,1,0,1,CS,$308.40 ,$308.40 ,0,$308.40 
OWENS & MINOR,007401563225,K232394,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  9:26: AM,Janet Caliendo,7,26106,KIT EKG LEADWIRE 5 LEAD DISPOSABLE 13FT,358333135T,33135T,Complete,6/7/2018  9:26:54 AM,,UHERD0000009288,Y,27,20,0,20,EA,$3.2896 ,$65.7920 ,0,$65.7920 
OWENS & MINOR,007401563225,K232396,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  9:27: AM,Janet Caliendo,7,26106,KIT EKG LEADWIRE 5 LEAD DISPOSABLE 13FT,358333135T,33135T,Complete,6/7/2018  9:27:46 AM,,UHERD0000009295,Y,27,25,0,25,EA,$3.2896 ,$82.24 ,0,$82.24 
OWENS & MINOR,007204563225,K232412,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  10:08: AM,Lisa Cunningham,1,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/4/2018  10:09:21 AM,,MSSS0052623,,27,1,0,1,CS,$47.4422 ,$47.4422 ,0,$47.4422 
OWENS & MINOR,007459263225,K232425,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  10:45: AM,PMM AutoPO processing login,1,37783,KIT EXT CENTRAL LINE DRSG CHNG,4352YNDC2628,DYNDC2628,Complete,6/7/2018  12:00:00 AM,,UH07V0000009278,,27,15,0,15,EA,$11.83 ,$177.45 ,0,$177.45 
OWENS & MINOR,007455263225,K232432,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  10:45: AM,PMM AutoPO processing login,3,37783,KIT EXT CENTRAL LINE DRSG CHNG,4352YNDC2628,DYNDC2628,Complete,6/7/2018  12:00:00 AM,,UH11S0000009286,,27,24,0,24,EA,$11.83 ,$283.92 ,0,$283.92 
OWENS & MINOR,007457263225,K232437,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  10:45: AM,PMM AutoPO processing login,2,37783,KIT EXT CENTRAL LINE DRSG CHNG,4352YNDC2628,DYNDC2628,Complete,6/7/2018  12:00:00 AM,,UHPHS0000009292,,27,24,0,24,EA,$11.83 ,$283.92 ,0,$283.92 
OWENS & MINOR,001401063321,K232442,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  10:52: AM,Zonnie O. Brown,9,9293,CATHETER IV BDINSYTE BD AUTOGUARD 1IN 22GA LF S WINGED,0723382623,382623,Complete,6/5/2018  12:00:00 AM,,BPSUR0000009305,,27,2,0,2,BX,$78.6425 ,$157.2850 ,0,$157.2850 
OWENS & MINOR,001401563225,K232457,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  11:09: AM,Loida Loretta Cooper,2,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/7/2018  11:09:26 AM,,BPER20000009313,Y,27,1,0,1,CS,$47.4420 ,$47.4420 ,0,$47.4420 
OWENS & MINOR,002401063225,K232469,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  11:20: AM,Janet Caliendo,4,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/7/2018  11:20:56 AM,,445883,Y,27,2,0,2,CS,$47.4422 ,$94.8844 ,0,$94.8844 
OWENS & MINOR,006224563225,K232490,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  11:46: AM,Sandra Veiga,2,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/7/2018  11:46:03 AM,,LN4850000009300,Y,27,2,0,2,CS,$47.4420 ,$94.8840 ,0,$94.8840 
OWENS & MINOR,007208063225,K232499,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  11:49: AM,Lisa Cunningham,9,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/4/2018  11:49:51 AM,,MSSS0052633,,27,12,0,12,TB,$3.9535 ,$47.4420 ,0,$47.4420 
OWENS & MINOR,007172063225,K232501,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  11:56: AM,Loida Loretta Cooper,6,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/7/2018  11:56:09 AM,,MSSS0052581,,27,5,0,5,TB,$3.9535 ,$19.7675 ,0,$19.7675 
OWENS & MINOR,007455063225,K232522,,INVENTORY - STORES, 06/04/2018  1:12: PM,Julia Vallejo,9,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/7/2018  1:12:39 PM,,UH11N0000009325,,27,3,0,3,TB,$3.9535 ,$11.8605 ,0,$11.8605 
OWENS & MINOR,007455063225,K232524,,INVENTORY - STORES, 06/04/2018  1:14: PM,Julia Vallejo,4,37783,KIT EXT CENTRAL LINE DRSG CHNG,4352YNDC2628,DYNDC2628,Complete,6/7/2018  1:14:25 PM,,UH11N0000009325,,27,20,0,20,EA,$11.83 ,$236.60 ,0,$236.60 
OWENS & MINOR,007455263225,K232528,,INVENTORY - STORES, 06/04/2018  1:20: PM,Julia Vallejo,10,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/7/2018  1:20:24 PM,,UH11S0000009333,,27,5,0,5,TB,$3.9535 ,$19.7675 ,0,$19.7675 
OWENS & MINOR,007451263225,K232533,,INVENTORY - STORES, 06/04/2018  1:23: PM,Julia Vallejo,9,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/7/2018  1:23:00 PM,,UH07S0000009323,,27,2,0,2,TB,$3.9535 ,$7.9070 ,0,$7.9070 
OWENS & MINOR,007451263225,K232534,,INVENTORY - STORES, 06/04/2018  1:24: PM,Julia Vallejo,3,37783,KIT EXT CENTRAL LINE DRSG CHNG,4352YNDC2628,DYNDC2628,Complete,6/7/2018  1:24:15 PM,,UH07S0000009323,,27,24,0,24,EA,$11.83 ,$283.92 ,0,$283.92 
OWENS & MINOR,007302563225,K232543,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  1:40: PM,Zonnie O. Brown,1,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/7/2018  1:40:37 PM,,MANUAL,,27,6,0,6,TB,$3.9535 ,$23.7210 ,0,$23.7210 
OWENS & MINOR,007705663225,K232548,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  2:02: PM,Sandra Veiga,6,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/7/2018  2:02:38 PM,,MANUAL,Y,27,3,0,3,TB,$3.9535 ,$11.8605 ,0,$11.8605 
OWENS & MINOR,007701063225,K232551,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  2:13: PM,Sandra Veiga,1,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/7/2018  2:13:39 PM,,MANUAL,,27,6,0,6,TB,$3.9535 ,$23.7210 ,0,$23.7210 
OWENS & MINOR,002150063225,K232552,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  2:19: PM,Jose Wilmer Mota,7,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/5/2018  12:00:00 AM,,MSSS0052668,Y,27,1,0,1,CS,$47.4422 ,$47.4422 ,0,$47.4422 
OWENS & MINOR,002158563321,K232553,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  2:21: PM,Jose Wilmer Mota,8,21740,CONNECTOR TUBING INVISION-PLUS GRN LTX-FREE STER PEEL POUCH,5564RYM7001,RYM-7001,Complete,6/5/2018  12:00:00 AM,,MSSS0052671,,27,400,0,400,EA,$1.7990 ,$719.60 ,0,$719.60 
OWENS & MINOR,002999713025,K232577,,INVENTORY - STORES, 06/04/2018  2:35: PM,Janet Caliendo,26,37783,KIT EXT CENTRAL LINE DRSG CHNG,4352YNDC2628,DYNDC2628,Complete,6/7/2018  2:35:25 PM,,446003,,27,1,0,1,CS,$473.20 ,$473.20 ,0,$473.20 
OWENS & MINOR,002401063225,K232583,,MEDICAL/SURGICAL SUPPLIES, 06/04/2018  2:38: PM,Janet Caliendo,1,128,WIPE CLEANING SANI-CLOTH HB 55% ALCOHOL LARGE 6.75IN 6IN,4725Q55172,Q55172,Complete,6/7/2018  2:38:29 PM,,445959,Y,27,1,0,1,CS,$47.4422 ,$47.4422 ,0,$47.4422 
